Date,Open,High,Low,Close,Volume
7/25/2018,689.5,696.900024,682.724976,640.261536,6936922
7/26/2018,689.275024,695.200012,684.599976,635.403259,7362218
7/27/2018,686.599976,694.5,684.150024,635.495789,6493232
7/30/2018,685,686.5,674,625.108215,6409970
7/31/2018,674.275024,685,667.775024,631.632263,7943996
8/1/2018,681.900024,684.224976,675.5,626.519348,4675706
8/2/2018,679.799988,683.375,675.075012,626.334229,5940742
8/3/2018,683.099976,683.099976,678,631.169434,3970390
8/6/2018,683.025024,687.5,673.75,629.573181,6178930
8/7/2018,687,689.974976,680.325012,632.950928,7351528
8/8/2018,685.900024,686.25,676.650024,630.544922,3992358
8/9/2018,686.825012,694.724976,686.825012,638.503418,6409524
8/10/2018,692.900024,694.5,686.525024,641.048218,4779520
8/13/2018,695,704.924988,689.349976,651.829102,9979746
8/14/2018,706.974976,712.275024,702,651.62085,6151320
8/16/2018,707.474976,717.450012,705.625,661.453247,6626774
8/17/2018,715.450012,718.825012,711.5,661.823364,6390408
8/20/2018,694,703.974976,686.75,640.492981,16101876
8/21/2018,695,698,686.875,640.354126,8361482
8/23/2018,696.5,700.75,692.674988,646.577515,7717182
8/24/2018,698.25,700.950012,688.049988,637.739929,7053000
8/27/2018,691.5,709.974976,690.700012,654.906067,7012950
8/28/2018,708.599976,719.200012,705.75,659.209167,6496890
8/29/2018,716.799988,716.799988,702.575012,652.453735,5646496
8/30/2018,706.400024,710.775024,698.075012,655.276184,11507962
8/31/2018,712.549988,727.150024,710.549988,666.797485,10875864
9/3/2018,724.5,733.950012,715,663.62793,10976328
9/4/2018,722,748.5,716,682.159119,15370124
9/5/2018,741.950012,744.049988,725.400024,675.44989,8658978
9/6/2018,732.549988,735.5,724.099976,672.905029,5598659
9/7/2018,734.349976,735.150024,723.799988,678.133545,6510605
9/10/2018,737.75,747,729.400024,676.329041,5629871
